schema,table,column,position,data_type,max_length,precision,scale,nullable,default,comment,key_type,fk_table,fk_column
master,branches,holidays,21,jsonb,,,,YES,,,,,
master,branches,is_active,22,boolean,,,,YES,,,,,
master,branches,operational_since,23,date,,,,YES,,,,,
master,branches,created_at,24,timestamp with time zone,,,,YES,,,,,
master,branches,updated_at,25,timestamp with time zone,,,,YES,,,,,
master,currencies,currency_id,1,integer,,32,,NO,nextval('master.currencies_currency_id_seq'::regclass),,PK,,
master,currencies,currency_code,2,text,,,,NO,,,,,
master,currencies,currency_name,3,text,,,,NO,,,,,
master,currencies,currency_symbol,4,text,,,,NO,,,,,
master,currencies,decimal_places,5,integer,,32,,YES,2,,,,
master,currencies,decimal_separator,6,text,,,,YES,'.'::text,,,,
master,currencies,thousand_separator,7,text,,,,YES,"','::text",,,,
master,currencies,symbol_position,8,text,,,,YES,'before'::text,,,,
master,currencies,format_pattern,9,text,,,,YES,,,,,
master,currencies,is_base_currency,10,boolean,,,,YES,false,,,,
master,currencies,is_active,11,boolean,,,,YES,true,,,,
master,currencies,created_at,12,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,departments,department_id,1,integer,,32,,NO,nextval('master.departments_department_id_seq'::regclass),,PK,,
master,departments,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,departments,department_code,3,text,,,,NO,,,,,
master,departments,department_name,4,text,,,,NO,,,,,
master,departments,department_type,5,text,,,,YES,,,,,
master,departments,parent_department_id,6,integer,,32,,YES,,,FK,departments,department_id
master,departments,department_head_id,7,integer,,32,,YES,,,FK,org_users,user_id
master,departments,cost_center_code,8,text,,,,YES,,,,,
master,departments,budget_allocated,9,numeric,,15,2,YES,,,,,
master,departments,is_active,10,boolean,,,,YES,true,,,,
master,departments,created_at,11,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,departments,updated_at,12,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,doctors,doctor_id,1,integer,,32,,NO,nextval('master.doctors_doctor_id_seq'::regclass),,PK,,
master,doctors,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,doctors,doctor_code,3,text,,,,NO,,,,,
master,doctors,doctor_name,4,text,,,,NO,,,,,
master,doctors,qualification,5,text,,,,YES,,,,,
master,doctors,specialization,6,text,,,,YES,,,,,
master,doctors,registration_number,7,text,,,,YES,,,,,
master,doctors,clinic_name,8,text,,,,YES,,,,,
master,doctors,clinic_address,9,jsonb,,,,YES,,,,,
master,doctors,phone_numbers,10,ARRAY,,,,YES,,,,,
master,doctors,email,11,text,,,,YES,,,,,
master,doctors,years_of_practice,12,integer,,32,,YES,,,,,
master,doctors,associated_hospitals,13,ARRAY,,,,YES,,,,,
master,doctors,commission_rate,14,numeric,,5,2,YES,,,,,
master,doctors,credit_limit,15,numeric,,15,2,YES,,,,,
master,doctors,payment_terms_days,16,integer,,32,,YES,30,,,,
master,doctors,preferred_brands,17,ARRAY,,,,YES,,,,,
master,doctors,prescription_pattern,18,jsonb,,,,YES,,,,,
master,doctors,is_active,19,boolean,,,,YES,true,,,,
master,doctors,blacklisted,20,boolean,,,,YES,false,,,,
master,doctors,blacklist_reason,21,text,,,,YES,,,,,
master,doctors,created_at,22,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,doctors,updated_at,23,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,employees,employee_id,1,integer,,32,,NO,nextval('master.employees_employee_id_seq'::regclass),,PK,,
master,employees,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,employees,user_id,3,integer,,32,,YES,,,FK,org_users,user_id
master,employees,employee_code,4,text,,,,NO,,,,,
master,employees,first_name,5,text,,,,NO,,,,,
master,employees,last_name,6,text,,,,YES,,,,,
master,employees,full_name,7,text,,,,YES,,,,,
master,employees,date_of_birth,8,date,,,,YES,,,,,
master,employees,gender,9,text,,,,YES,,,,,
master,employees,marital_status,10,text,,,,YES,,,,,
master,employees,blood_group,11,text,,,,YES,,,,,
master,employees,personal_email,12,text,,,,YES,,,,,
master,employees,personal_mobile,13,text,,,,NO,,,,,
master,employees,emergency_contact,14,jsonb,,,,YES,,,,,
master,employees,permanent_address,15,jsonb,,,,YES,,,,,
master,employees,current_address,16,jsonb,,,,YES,,,,,
master,employees,designation,17,text,,,,NO,,,,,
master,employees,department_id,18,integer,,32,,YES,,,FK,departments,department_id
master,employees,branch_id,19,integer,,32,,YES,,,FK,org_branches,branch_id
master,employees,joining_date,20,date,,,,NO,,,,,
master,employees,probation_end_date,21,date,,,,YES,,,,,
master,employees,confirmation_date,22,date,,,,YES,,,,,
master,employees,pan_number,23,text,,,,YES,,,,,
master,employees,aadhar_number,24,text,,,,YES,,,,,
master,employees,driving_license,25,text,,,,YES,,,,,
master,employees,passport_number,26,text,,,,YES,,,,,
master,employees,bank_account_details,27,jsonb,,,,YES,,,,,
master,employees,employment_status,28,text,,,,YES,'active'::text,,,,
master,employees,resignation_date,29,date,,,,YES,,,,,
master,employees,last_working_date,30,date,,,,YES,,,,,
master,employees,created_at,31,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,employees,updated_at,32,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,exchange_rates,rate_id,1,integer,,32,,NO,nextval('master.exchange_rates_rate_id_seq'::regclass),,PK,,
master,exchange_rates,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,exchange_rates,from_currency_code,3,text,,,,NO,,,,,
master,exchange_rates,to_currency_code,4,text,,,,NO,,,,,
master,exchange_rates,exchange_rate,5,numeric,,15,6,NO,,,,,
master,exchange_rates,inverse_rate,6,numeric,,15,6,YES,,,,,
master,exchange_rates,effective_from,7,date,,,,NO,,,,,
master,exchange_rates,effective_until,8,date,,,,YES,,,,,
master,exchange_rates,rate_source,9,text,,,,YES,,,,,
master,exchange_rates,is_active,10,boolean,,,,YES,true,,,,
master,exchange_rates,created_at,11,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,exchange_rates,created_by,12,integer,,32,,YES,,,FK,org_users,user_id
master,number_series,series_id,1,integer,,32,,NO,nextval('master.number_series_series_id_seq'::regclass),,PK,,
master,number_series,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,number_series,branch_id,3,integer,,32,,YES,,,FK,org_branches,branch_id
master,number_series,document_type,4,text,,,,NO,,,,,
master,number_series,series_code,5,text,,,,NO,,,,,
master,number_series,series_description,6,text,,,,YES,,,,,
master,number_series,prefix,7,text,,,,YES,,,,,
master,number_series,suffix,8,text,,,,YES,,,,,
master,number_series,separator,9,text,,,,YES,'/'::text,,,,
master,number_series,current_number,10,integer,,32,,NO,0,,,,
master,number_series,start_number,11,integer,,32,,NO,1,,,,
master,number_series,increment_by,12,integer,,32,,NO,1,,,,
master,number_series,reset_frequency,13,text,,,,YES,,,,,
master,number_series,last_reset_date,14,date,,,,YES,,,,,
master,number_series,preview_format,15,text,,,,YES,,,,,
master,number_series,is_default,16,boolean,,,,YES,false,,,,
master,number_series,is_active,17,boolean,,,,YES,true,,,,
master,number_series,created_at,18,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,number_series,updated_at,19,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,org_bank_accounts,bank_account_id,1,integer,,32,,NO,nextval('master.org_bank_accounts_bank_account_id_seq'::regclass),,PK,,
master,org_bank_accounts,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,org_bank_accounts,branch_id,3,integer,,32,,YES,,,FK,org_branches,branch_id
master,org_bank_accounts,account_name,4,text,,,,NO,,,,,
master,org_bank_accounts,account_number,5,text,,,,NO,,,,,
master,org_bank_accounts,account_type,6,text,,,,NO,,,,,
master,org_bank_accounts,bank_name,7,text,,,,NO,,,,,
master,org_bank_accounts,branch_name,8,text,,,,NO,,,,,
master,org_bank_accounts,ifsc_code,9,text,,,,NO,,,,,
master,org_bank_accounts,swift_code,10,text,,,,YES,,,,,
master,org_bank_accounts,bank_address,11,jsonb,,,,YES,,,,,
master,org_bank_accounts,bank_contact_number,12,text,,,,YES,,,,,
master,org_bank_accounts,relationship_manager,13,text,,,,YES,,,,,
master,org_bank_accounts,currency_code,14,text,,,,YES,'INR'::text,,,,
master,org_bank_accounts,overdraft_limit,15,numeric,,15,2,YES,,,,,
master,org_bank_accounts,is_default_account,16,boolean,,,,YES,false,,,,
master,org_bank_accounts,is_payment_account,17,boolean,,,,YES,true,,,,
master,org_bank_accounts,is_receipt_account,18,boolean,,,,YES,true,,,,
master,org_bank_accounts,last_reconciled_date,19,date,,,,YES,,,,,
master,org_bank_accounts,last_statement_date,20,date,,,,YES,,,,,
master,org_bank_accounts,current_balance,21,numeric,,15,2,YES,,,,,
master,org_bank_accounts,is_active,22,boolean,,,,YES,true,,,,
master,org_bank_accounts,account_opened_date,23,date,,,,YES,,,,,
master,org_bank_accounts,created_at,24,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,org_bank_accounts,updated_at,25,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,org_branches,branch_id,1,integer,,32,,NO,nextval('master.org_branches_branch_id_seq'::regclass),,PK,,
master,org_branches,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,org_branches,branch_code,3,text,,,,NO,,,,,
master,org_branches,branch_name,4,text,,,,NO,,,,,
master,org_branches,branch_type,5,text,,,,NO,'warehouse'::text,,,,
master,org_branches,address,6,jsonb,,,,NO,,,,,
master,org_branches,google_maps_link,7,text,,,,YES,,,,,
master,org_branches,latitude,8,numeric,,10,8,YES,,,,,
master,org_branches,longitude,9,numeric,,11,8,YES,,,,,
master,org_branches,branch_phone,10,text,,,,YES,,,,,
master,org_branches,branch_email,11,text,,,,YES,,,,,
master,org_branches,branch_manager_id,12,integer,,32,,YES,,,,,
master,org_branches,branch_gst_number,13,text,,,,YES,,,,,
master,org_branches,drug_license_number,14,text,,,,YES,,,,,
master,org_branches,drug_license_validity,15,date,,,,YES,,,,,
master,org_branches,is_billing_location,16,boolean,,,,YES,false,,,,
master,org_branches,is_shipping_location,17,boolean,,,,YES,true,,,,
master,org_branches,is_default_location,18,boolean,,,,YES,false,,,,
master,org_branches,storage_capacity,19,jsonb,,,,YES,,,,,
master,org_branches,working_hours,20,jsonb,,,,YES,,,,,
master,org_branches,holidays,21,jsonb,,,,YES,'[]'::jsonb,,,,
master,org_branches,is_active,22,boolean,,,,YES,true,,,,
master,org_branches,operational_since,23,date,,,,YES,,,,,
master,org_branches,created_at,24,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,org_branches,updated_at,25,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,org_users,user_id,1,integer,,32,,NO,nextval('master.org_users_user_id_seq'::regclass),,PK,,
master,org_users,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,org_users,auth_user_id,3,uuid,,,,YES,,,,,
master,org_users,username,4,text,,,,NO,,,,,
master,org_users,email,5,text,,,,NO,,,,,
master,org_users,mobile_number,6,text,,,,NO,,,,,
master,org_users,employee_code,7,text,,,,YES,,,,,
master,org_users,first_name,8,text,,,,NO,,,,,
master,org_users,last_name,9,text,,,,YES,,,,,
master,org_users,full_name,10,text,,,,YES,,,,,
master,org_users,role_id,11,integer,,32,,YES,,,,,
master,org_users,is_admin,12,boolean,,,,YES,false,,,,
master,org_users,permissions,13,jsonb,,,,YES,'{}'::jsonb,,,,
master,org_users,branch_ids,14,ARRAY,,,,YES,'{}'::integer[],,,,
master,org_users,department_id,15,integer,,32,,YES,,,,,
master,org_users,reporting_to_id,16,integer,,32,,YES,,,FK,org_users,user_id
master,org_users,last_login,17,timestamp with time zone,,,,YES,,,,,
master,org_users,login_count,18,integer,,32,,YES,0,,,,
master,org_users,failed_login_attempts,19,integer,,32,,YES,0,,,,
master,org_users,locked_until,20,timestamp with time zone,,,,YES,,,,,
master,org_users,ui_preferences,21,jsonb,,,,YES,'{}'::jsonb,,,,
master,org_users,notification_preferences,22,jsonb,,,,YES,'{}'::jsonb,,,,
master,org_users,is_active,23,boolean,,,,YES,true,,,,
master,org_users,is_online,24,boolean,,,,YES,false,,,,
master,org_users,created_at,25,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,org_users,updated_at,26,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,org_users,created_by,27,integer,,32,,YES,,,,,
master,org_users,password_hash,28,text,,,,YES,,,,,
master,organizations,org_id,1,uuid,,,,NO,gen_random_uuid(),,PK,,
master,organizations,org_code,2,text,,,,NO,,,,,
master,organizations,org_name,3,text,,,,NO,,,,,
master,organizations,legal_name,4,text,,,,NO,,,,,
master,organizations,business_type,5,text,,,,NO,'pharmaceutical_distributor'::text,,,,
master,organizations,establishment_date,6,date,,,,YES,,,,,
master,organizations,gst_number,7,text,,,,YES,,,,,
master,organizations,pan_number,8,text,,,,YES,,,,,
master,organizations,drug_license_number,9,text,,,,YES,,,,,
master,organizations,drug_license_validity,10,date,,,,YES,,,,,
master,organizations,fssai_number,11,text,,,,YES,,,,,
master,organizations,registered_address,12,jsonb,,,,NO,,,,,
master,organizations,correspondence_address,13,jsonb,,,,YES,,,,,
master,organizations,contact_numbers,14,jsonb,,,,YES,,,,,
master,organizations,email_addresses,15,jsonb,,,,YES,,,,,
master,organizations,website,16,text,,,,YES,,,,,
master,organizations,financial_year_start,17,integer,,32,,YES,4,,,,
master,organizations,currency_code,18,text,,,,YES,'INR'::text,,,,
master,organizations,date_format,19,text,,,,YES,'DD/MM/YYYY'::text,,,,
master,organizations,time_zone,20,text,,,,YES,'Asia/Kolkata'::text,,,,
master,organizations,subscription_plan,21,text,,,,YES,'standard'::text,,,,
master,organizations,subscription_status,22,text,,,,YES,'active'::text,,,,
master,organizations,subscription_valid_until,23,date,,,,YES,,,,,
master,organizations,user_limit,24,integer,,32,,YES,10,,,,
master,organizations,branch_limit,25,integer,,32,,YES,1,,,,
master,organizations,business_settings,26,jsonb,,,,YES,'{}'::jsonb,,,,
master,organizations,feature_flags,27,jsonb,,,,YES,'{}'::jsonb,,,,
master,organizations,is_active,28,boolean,,,,YES,true,,,,
master,organizations,is_verified,29,boolean,,,,YES,false,,,,
master,organizations,verified_at,30,timestamp with time zone,,,,YES,,,,,
master,organizations,created_at,31,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,organizations,updated_at,32,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,organizations,created_by,33,uuid,,,,YES,,,,,
master,roles,role_id,1,integer,,32,,NO,nextval('master.roles_role_id_seq'::regclass),,PK,,
master,roles,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
master,roles,role_code,3,text,,,,NO,,,,,
master,roles,role_name,4,text,,,,NO,,,,,
master,roles,role_description,5,text,,,,YES,,,,,
master,roles,parent_role_id,6,integer,,32,,YES,,,FK,roles,role_id
master,roles,role_level,7,integer,,32,,NO,1,,,,
master,roles,permissions,8,jsonb,,,,NO,'{}'::jsonb,,,,
master,roles,allowed_modules,9,ARRAY,,,,YES,'{}'::text[],,,,
master,roles,restricted_features,10,ARRAY,,,,YES,'{}'::text[],,,,
master,roles,data_access_level,11,text,,,,YES,'own'::text,,,,
master,roles,is_system_role,12,boolean,,,,YES,false,,,,
master,roles,is_active,13,boolean,,,,YES,true,,,,
master,roles,created_at,14,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,roles,updated_at,15,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,system_settings,setting_id,1,integer,,32,,NO,nextval('master.system_settings_setting_id_seq'::regclass),,PK,,
master,system_settings,org_id,2,uuid,,,,NO,,,,,
master,system_settings,setting_category,3,text,,,,NO,,,,,
master,system_settings,setting_key,4,text,,,,NO,,,,,
master,system_settings,setting_value,5,text,,,,NO,,,,,
master,system_settings,setting_type,6,text,,,,NO,,,,,
master,system_settings,description,7,text,,,,YES,,,,,
master,system_settings,is_active,8,boolean,,,,YES,true,,,,
master,system_settings,created_by,9,integer,,32,,YES,,,,,
master,system_settings,created_at,10,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
master,system_settings,updated_at,11,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,customer_contacts,contact_id,1,integer,,32,,NO,nextval('parties.customer_contacts_contact_id_seq'::regclass),,PK,,
parties,customer_contacts,customer_id,2,integer,,32,,NO,,,FK,customers,customer_id
parties,customer_contacts,contact_name,3,text,,,,NO,,,,,
parties,customer_contacts,designation,4,text,,,,YES,,,,,
parties,customer_contacts,department,5,text,,,,YES,,,,,
parties,customer_contacts,mobile_number,6,text,,,,YES,,,,,
parties,customer_contacts,phone_number,7,text,,,,YES,,,,,
parties,customer_contacts,email,8,text,,,,YES,,,,,
parties,customer_contacts,is_primary_contact,9,boolean,,,,YES,false,,,,
parties,customer_contacts,contact_for,10,ARRAY,,,,YES,,,,,
parties,customer_contacts,preferred_contact_time,11,text,,,,YES,,,,,
parties,customer_contacts,preferred_language,12,text,,,,YES,'English'::text,,,,
parties,customer_contacts,date_of_birth,13,date,,,,YES,,,,,
parties,customer_contacts,anniversary_date,14,date,,,,YES,,,,,
parties,customer_contacts,notes,15,text,,,,YES,,,,,
parties,customer_contacts,is_active,16,boolean,,,,YES,true,,,,
parties,customer_contacts,created_at,17,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,customer_contacts,updated_at,18,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,customer_group_members,member_id,1,integer,,32,,NO,nextval('parties.customer_group_members_member_id_seq'::regclass),,PK,,
parties,customer_group_members,group_id,2,integer,,32,,NO,,,FK,customer_groups,group_id
parties,customer_group_members,customer_id,3,integer,,32,,NO,,,FK,customers,customer_id
parties,customer_group_members,joined_date,4,date,,,,NO,CURRENT_DATE,,,,
parties,customer_group_members,expiry_date,5,date,,,,YES,,,,,
parties,customer_group_members,override_discount,6,numeric,,5,2,YES,,,,,
parties,customer_group_members,override_credit_limit,7,numeric,,15,2,YES,,,,,
parties,customer_group_members,is_active,8,boolean,,,,YES,true,,,,
parties,customer_group_members,created_at,9,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,customer_group_members,created_by,10,integer,,32,,YES,,,FK,org_users,user_id
parties,customer_groups,group_id,1,integer,,32,,NO,nextval('parties.customer_groups_group_id_seq'::regclass),,PK,,
parties,customer_groups,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
parties,customer_groups,group_code,3,text,,,,NO,,,,,
parties,customer_groups,group_name,4,text,,,,NO,,,,,
parties,customer_groups,group_type,5,text,,,,NO,,,,,
parties,customer_groups,parent_group_id,6,integer,,32,,YES,,,FK,customer_groups,group_id
parties,customer_groups,discount_percentage,7,numeric,,5,2,YES,,,,,
parties,customer_groups,price_list_id,8,integer,,32,,YES,,,,,
parties,customer_groups,payment_terms_days,9,integer,,32,,YES,,,,,
parties,customer_groups,credit_limit_multiplier,10,numeric,,3,2,YES,1.0,,,,
parties,customer_groups,eligibility_criteria,11,jsonb,,,,YES,'{}'::jsonb,,,,
parties,customer_groups,is_active,12,boolean,,,,YES,true,,,,
parties,customer_groups,created_at,13,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,customer_groups,updated_at,14,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,customers,customer_id,1,integer,,32,,NO,nextval('parties.customers_customer_id_seq'::regclass),,PK,,
parties,customers,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
parties,customers,customer_code,3,text,,,,NO,,,,,
parties,customers,customer_name,4,text,,,,NO,,,,,
parties,customers,customer_type,5,text,,,,NO,,,,,
parties,customers,primary_phone,6,text,,,,NO,,,,,
parties,customers,primary_email,7,text,,,,YES,,,,,
parties,customers,secondary_phone,8,text,,,,YES,,,,,
parties,customers,whatsapp_number,9,text,,,,YES,,,,,
parties,customers,contact_person_name,10,text,,,,YES,,,,,
parties,customers,contact_person_phone,11,text,,,,YES,,,,,
parties,customers,contact_person_email,12,text,,,,YES,,,,,
parties,customers,gst_number,13,text,,,,YES,,,,,
parties,customers,pan_number,14,text,,,,YES,,,,,
parties,customers,drug_license_number,15,text,,,,YES,,,,,
parties,customers,drug_license_validity,16,date,,,,YES,,,,,
parties,customers,fssai_number,17,text,,,,YES,,,,,
parties,customers,establishment_year,18,integer,,32,,YES,,,,,
parties,customers,business_type,19,text,,,,YES,'retail_pharmacy'::text,,,,
parties,customers,credit_limit,20,numeric,,15,2,YES,0,,,,
parties,customers,current_outstanding,21,numeric,,15,2,YES,0,,,,
parties,customers,credit_days,22,integer,,32,,YES,0,,,,
parties,customers,credit_rating,23,text,,,,YES,'C'::text,,,,
parties,customers,payment_terms,24,text,,,,YES,'Cash'::text,,,,
parties,customers,security_deposit,25,numeric,,15,2,YES,0,,,,
parties,customers,overdue_interest_rate,26,numeric,,5,2,YES,0,,,,
parties,customers,customer_category,27,text,,,,YES,,,,,
parties,customers,customer_grade,28,text,,,,YES,,,,,
parties,customers,territory_id,29,integer,,32,,YES,,,,,
parties,customers,route_id,30,integer,,32,,YES,,,,,
parties,customers,area_code,31,text,,,,YES,,,,,
parties,customers,assigned_salesperson_id,32,integer,,32,,YES,,,FK,org_users,user_id
parties,customers,price_list_id,33,integer,,32,,YES,,,,,
parties,customers,discount_group_id,34,integer,,32,,YES,,,,,
parties,customers,kyc_status,35,text,,,,YES,'pending'::text,,,,
parties,customers,kyc_verified_date,36,date,,,,YES,,,,,
parties,customers,kyc_documents,37,jsonb,,,,YES,'[]'::jsonb,,,,
parties,customers,preferred_payment_mode,38,text,,,,YES,,,,,
parties,customers,preferred_delivery_time,39,text,,,,YES,,,,,
parties,customers,prefer_sms,40,boolean,,,,YES,true,,,,
parties,customers,prefer_email,41,boolean,,,,YES,false,,,,
parties,customers,prefer_whatsapp,42,boolean,,,,YES,true,,,,
parties,customers,first_transaction_date,43,date,,,,YES,,,,,
parties,customers,last_transaction_date,44,date,,,,YES,,,,,
parties,customers,total_business_amount,45,numeric,,15,2,YES,0,,,,
parties,customers,total_transactions,46,integer,,32,,YES,0,,,,
parties,customers,average_order_value,47,numeric,,15,2,YES,0,,,,
parties,customers,is_active,48,boolean,,,,YES,true,,,,
parties,customers,blacklisted,49,boolean,,,,YES,false,,,,
parties,customers,blacklist_reason,50,text,,,,YES,,,,,
parties,customers,blacklist_date,51,date,,,,YES,,,,,
parties,customers,loyalty_points,52,numeric,,15,2,YES,0,,,,
parties,customers,loyalty_tier,53,text,,,,YES,'bronze'::text,,,,
parties,customers,internal_notes,54,text,,,,YES,,,,,
parties,customers,created_at,55,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,customers,updated_at,56,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,customers,created_by,57,integer,,32,,YES,,,FK,org_users,user_id
parties,routes,route_id,1,integer,,32,,NO,nextval('parties.routes_route_id_seq'::regclass),,PK,,
parties,routes,org_id,2,uuid,,,,NO,,,FK,organizations,org_id
parties,routes,territory_id,3,integer,,32,,YES,,,FK,territories,territory_id
parties,routes,route_code,4,text,,,,NO,,,,,
parties,routes,route_name,5,text,,,,NO,,,,,
parties,routes,route_type,6,text,,,,NO,,,,,
parties,routes,visit_days,7,ARRAY,,,,YES,,,,,
parties,routes,visit_frequency,8,text,,,,YES,,,,,
parties,routes,assigned_to_id,9,integer,,32,,YES,,,FK,org_users,user_id
parties,routes,vehicle_required,10,boolean,,,,YES,false,,,,
parties,routes,total_distance_km,11,numeric,,10,2,YES,,,,,
parties,routes,average_time_hours,12,numeric,,5,2,YES,,,,,
parties,routes,customer_count,13,integer,,32,,YES,0,,,,
parties,routes,customer_sequence,14,jsonb,,,,YES,'[]'::jsonb,,,,
parties,routes,is_active,15,boolean,,,,YES,true,,,,
parties,routes,created_at,16,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,routes,updated_at,17,timestamp with time zone,,,,YES,CURRENT_TIMESTAMP,,,,
parties,supplier_contacts,contact_id,1,integer,,32,,NO,nextval('parties.supplier_contacts_contact_id_seq'::regclass),,PK,,
parties,supplier_contacts,supplier_id,2,integer,,32,,NO,,,FK,suppliers,supplier_id
parties,supplier_contacts,contact_name,3,text,,,,NO,,,,,
parties,supplier_contacts,designation,4,text,,,,YES,,,,,
parties,supplier_contacts,department,5,text,,,,YES,,,,,
parties,supplier_contacts,mobile_number,6,text,,,,YES,,,,,
parties,supplier_contacts,phone_number,7,text,,,,YES,,,,,
parties,supplier_contacts,email,8,text,,,,YES,,,,,
parties,supplier_contacts,is_primary_contact,9,boolean,,,,YES,false,,,,
parties,supplier_contacts,contact_for,10,ARRAY,,,,YES,,,,,
parties,supplier_contacts,can_negotiate_prices,11,boolean,,,,YES,false,,,,
parties,supplier_contacts,can_approve_returns,12,boolean,,,,YES,false,,,,
parties,supplier_contacts,max_discount_authority,13,numeric,,5,2,YES,,,,,
parties,supplier_contacts,notes,14,text,,,,YES,,,,,
parties,supplier_contacts,is_active,15,boolean,,,,YES,true,,,,
